coccus	rod	MeanDecreaseAccuracy	MeanDecreaseGini
OG0000459	0.00961275423093035	0.00237223601620524	0.00569827553190612	7.05324583733038
OG0000830	0.0074790160219763	0.000977754429513105	0.00397441831275814	4.5375770619561
OG0006491	0.00688406503833012	0.000373290071672222	0.00337513710253875	3.94961872034844
OG0007630	0.0062812728847729	0.0014664996629658	0.00367220535730252	3.1890171810781
OG0000056	0.0053351236997759	0.00484012893296794	0.00507563083799507	6.32064325383647
OG0000186	0.00504370244720788	0.0014592890566485	0.00310418843726624	3.21199348792707
OG0008805	0.00499671992779115	0.00332256953306203	0.00409817087211662	6.01685907661905
OG0000000	0.00473963362896543	0.00100135236692892	0.00272550032444858	4.70341580706375
OG0000397	0.00467698106120541	0.00231033820150461	0.00340340742346014	4.67485711076122
OG0001601	0.00455527695273724	0.000303995303643967	0.00226842584570227	1.2447779954765
OG0000007	0.00444884969992986	0.000386695785709846	0.0022561436579595	1.54136456592286
OG0000942	0.0041900010856512	0.000700991296943043	0.00231687489222487	3.33549134875544
OG0000310	0.00403428389044586	0.000298115751484587	0.00202998522252229	1.49412820840249
OG0000013	0.00399387702189185	0.00105184895737047	0.00240284196159893	2.77139113913898
OG0003165	0.00393298955681981	0.000704113772175759	0.00217722456327935	3.46754455769393
OG0002901	0.00378577947660165	0.000407703160119798	0.00196981953154282	1.63901645210525
OG0000064	0.00376353377562648	0.00361954930168109	0.00369495598254314	4.42164069683355
OG0000940	0.00369735648179951	0.00117454260494996	0.00233677829350656	2.88489841100504
OG0001247	0.00365430888808315	0.00151072418257888	0.00250038106072885	3.68482825978136
OG0006489	0.00364479428315501	0.00132126748009889	0.00238161468261123	2.74546459500675
OG0003538	0.00357814979964836	0.000388129622238162	0.00185329418267667	0.969323249655557
OG0000036	0.00354681221623246	0.00140568824615368	0.0023915992067424	4.66920937392927
OG0000548	0.00349539523922626	0.000204194237293525	0.00172573342806489	2.90910015619443
OG0001288	0.00342925972453786	0.00133079955260879	0.00228163899908232	3.03267200607307
OG0000611	0.00341096614120017	0.00112070270360655	0.00217257243679056	2.81684942025344
OG0000918	0.00327681698974232	0.000233176285054341	0.00164356509886383	2.26212480619116
OG0000454	0.00319772349775792	0.000252999092547674	0.00160143567963269	2.10488798820974
OG0003267	0.00310810100359308	0.000375549164670671	0.00163158005209501	1.11030919848784
OG0001317	0.00299155388688268	0.00103288106597142	0.00193577440546416	2.30918003297064
OG0001229	0.00293577312631448	0.00145739101858653	0.00213829562599005	2.83726172746954
OG0001074	0.00286759521794717	0.0010793452051411	0.00189892573282037	2.40995080399533
OG0006488	0.00285130575153129	0.000962390459839795	0.00183346083930355	1.8102143651087
OG0001302	0.00284808411154757	0.00128094873184366	0.00199807002019461	2.4512066252112
OG0001334	0.00283515399370705	0.00104454706338638	0.0018705830476405	2.18642098534186
OG0002580	0.00282849399087099	0.000237993596368885	0.00144031178832485	0.836876164466252
OG0000034	0.00280036051757628	0.00345836375216108	0.0031571089191041	4.87674464182173
OG0000378	0.00279216946977011	0.00100823917849562	0.0018312433670977	2.4652268038063
OG0000351	0.00278840414621352	0.000196050722641845	0.00138858728157286	1.79793753121941
OG0000104	0.00278625432092124	0.000415486680043164	0.00149706371134334	2.67969356222651
OG0000364	0.00273334950414032	0.000790132890425096	0.00168257576579084	1.89402537421264
OG0000117	0.00270873753298278	0.00256505724119474	0.00263158570496617	3.81601237125941
OG0001417	0.00263492909081721	0.000188106237550453	0.00131955975635057	3.23500372027161
OG0000878	0.0025647001042364	0.000569555236352763	0.00148823816738132	3.59531411901452
OG0001311	0.00254993090259326	0.000851341355908043	0.00163934955544268	2.39821490762093
OG0000006	0.00254891833933898	0.000100534087239469	0.00123506687543202	0.620772096518876
OG0001052	0.0025474126046887	1.47258811593346e-05	0.00119027686922059	0.455772778369848
OG0001091	0.00250813248806466	0.00175714993018079	0.00209804801105878	2.85471674695951
OG0000042	0.00249338546452577	0.000234550003961433	0.00128098746312128	1.80540272019181
OG0000246	0.00247305951359955	0.000436254314703066	0.00137396483538049	2.10179514977931
OG0000005	0.00246139221807579	0.000588002219302264	0.00145340486678485	1.90997619733169
OG0000044	0.00245036391084503	0.0016389268983418	0.00201535418125195	3.98554134201422
OG0000021	0.00239033800130187	0.00141483639779675	0.00186768870063337	3.15518745758996
OG0000538	0.00238685465232193	0.000394654403594076	0.00132422168099405	1.43652835206797
OG0001231	0.00233956054671402	0.00125365167859679	0.00175435374665124	2.57568635496623
OG0004100	0.0023275644780887	0.000638951050164988	0.00141604804237988	2.05977696799245
OG0001725	0.00231455784811262	0.000776767676394565	0.00148379268298092	1.84943223170888
OG0000192	0.00229687841180517	0.00144461700846025	0.00182063813080553	2.25489999067616
OG0000521	0.00228222796449636	0.000358203694777928	0.0012538162431074	1.24856871774535
OG0003402	0.00227065644187794	0.000383121002212034	0.0012529034108884	0.76781955504639
OG0000879	0.0022699412572898	0.000242100130221637	0.00116370765789821	1.1181227807102
OG0001241	0.00226293281363559	0.00129229308151498	0.00174138235992942	2.44310776927551
OG0006197	0.00224576536867579	0.000595092888664659	0.00135506403829626	1.55572056671468
